degree,program,college,count
Master_of_Science,Agronomy,College_of_Agriculture_and_Food_Science,35
Master_of_Science,Animal_Science,College_of_Agriculture_and_Food_Science,101
Master_of_Science,Entomology,College_of_Agriculture_and_Food_Science,28
Master_of_Science,Food_Science,College_of_Agriculture_and_Food_Science,33
Master_of_Science,Horticulture,College_of_Agriculture_and_Food_Science,32
Master_of_Science,Plant_Breeding,College_of_Agriculture_and_Food_Science,43
Master_of_Science,Plant_Genetic_Resources_and_Management,College_of_Agriculture_and_Food_Science,2
Master_of_Science,Plant_Pathology,College_of_Agriculture_and_Food_Science,40
Master_of_Science,Rural_Sociology,College_of_Agriculture_and_Food_Science,6
Doctor_of_Philosophy,Agronomy,College_of_Agriculture_and_Food_Science,16
Doctor_of_Philosophy,Animal_Science,College_of_Agriculture_and_Food_Science,32
Doctor_of_Philosophy,Entomology,College_of_Agriculture_and_Food_Science,16
Doctor_of_Philosophy,Food_Science,College_of_Agriculture_and_Food_Science,12
Doctor_of_Philosophy,Horticulture,College_of_Agriculture_and_Food_Science,22
Doctor_of_Philosophy,Plant_Breeding,College_of_Agriculture_and_Food_Science,20
Doctor_of_Philosophy,Plant_Pathology,College_of_Agriculture_and_Food_Science,9
Doctor_of_Philosophy_by_Research,Agronomy,College_of_Agriculture_and_Food_Science,2
Doctor_of_Philosophy_by_Research,Plant_Breeding,College_of_Agriculture_and_Food_Science,3
Doctor_of_Philosophy,Soil_Science,College_of_Agriculture_and_Food_Science,15
Master_of_Agriculture,Agronomy,College_of_Agriculture_and_Food_Science,2
Master_of_Arts,Communication_Arts,College_of_Arts_and_Sciences,36
Master_of_Arts,Sociology,College_of_Arts_and_Sciences,15
Master_of_Communication_Arts,Communication_Arts,College_of_Arts_and_Sciences,2
Master_of_Information_Technology,Information_Technology,College_of_Arts_and_Sciences,27
Master_of_Science,Agricultural_Chemistry,College_of_Arts_and_Sciences,14
Master_of_Science,Biochemistry,College_of_Arts_and_Sciences,15
Master_of_Science,Botany,College_of_Arts_and_Sciences,24
Master_of_Science,Chemistry,College_of_Arts_and_Sciences,21
Master_of_Science,Computer_Science,College_of_Arts_and_Sciences,31
Master_of_Science,Genetics,College_of_Arts_and_Sciences,27
Master_of_Science,Molecular_Biology_and_Biotechnology,College_of_Arts_and_Sciences,63
Master_of_Science,Microbiology,College_of_Arts_and_Sciences,55
Master_of_Science,Mathematics,College_of_Arts_and_Sciences,12
Master_of_Science,Soil_Science,College_of_Agriculture_and_Food_Science,27
Master_of_Science,Statistics,College_of_Arts_and_Sciences,35
Master_of_Science,Wildlife,College_of_Arts_and_Sciences,22
Master_of_Science,Zoology,College_of_Arts_and_Sciences,23
Doctor_of_Philosophy,Agricultural_Chemistry,College_of_Arts_and_Sciences,2
Doctor_of_Philosophy,Biochemistry,College_of_Arts_and_Sciences,4
Doctor_of_Philosophy,Botany,College_of_Arts_and_Sciences,16
Doctor_of_Philosophy,Computer_Science,College_of_Arts_and_Sciences,3
Doctor_of_Philosophy,Genetics,College_of_Arts_and_Sciences,15
Doctor_of_Philosophy,Molecular_Biology_and_Biotechnology,College_of_Arts_and_Sciences,14
Doctor_of_Philosophy,Microbiology,College_of_Arts_and_Sciences,7
Doctor_of_Philosophy_by_Research,Computer_Science,College_of_Arts_and_Sciences,5
Doctor_of_Philosophy_by_Research,Microbiology,College_of_Arts_and_Sciences,3
Doctor_of_Philosophy,Statistics,College_of_Arts_and_Sciences,15
Master_of_Science,Development_Communication,College_of_Development_Communication,53
Doctor_of_Philosophy,Development_Communication,College_of_Development_Communication,55
Doctor_of_Philosophy_by_Research,Development_Communication,College_of_Development_Communication,1
Master_of_Science,Agricultural_Engineering,College_of_Engineering_and_Agro-Industrial_Technology,68
Master_of_Science,Agrometreorology,College_of_Engineering_and_Agro-Industrial_Technology,10
Master_of_Science,Chemical_Engineering,College_of_Engineering_and_Agro-Industrial_Technology,24
Doctor_of_Philosophy,Agricultural_Engineering,College_of_Engineering_and_Agro-Industrial_Technology,22
Doctor_of_Philosophy_by_Research,Agricultural_Engineering,College_of_Engineering_and_Agro-Industrial_Technology,1
Master_of_Management,Agribusiness_and_Entrepreneurship,College_of_Economics_and_Management,28
Master_of_Management,Business_Management,College_of_Economics_and_Management,99
Master_of_Management,Cooperatives_Management,College_of_Economics_and_Management,9
Master_of_Science,Agricultural_Economics,College_of_Economics_and_Management,39
Master_of_Science,Economics,College_of_Economics_and_Management,19
Doctor_of_Philosophy,Agricultural_Economics,College_of_Economics_and_Management,22
Doctor_of_Philosophy_by_Research,Agricultural_Economics,College_of_Economics_and_Management,2
Doctor_of_Philosophy_by_Research,Economics,College_of_Economics_and_Management,2
Master_of_Forestry,Forest_Biological_Sciences,College_of_Forestry_and_Natural_Resources,2
Master_of_Forestry,Social_Forestry,College_of_Forestry_and_Natural_Resources,1
Master_of_Forestry,Silviculture_and_Forest_Infuences,College_of_Forestry_and_Natural_Resources,1
Master_of_Science,Forest_Biological_Sciences,College_of_Forestry_and_Natural_Resources,18
Master_of_Science,Forest_Resources_Management,College_of_Forestry_and_Natural_Resources,16
Master_of_Science,Family_Resources_Management,College_of_Human_Ecology,9
Master_of_Science,Natural_Resources_Conservation_and_Management,College_of_Forestry_and_Natural_Resources,33
Master_of_Science,Social_Forestry,College_of_Forestry_and_Natural_Resources,7
Master_of_Science,Silviculture_and_Forest_Infuences,College_of_Forestry_and_Natural_Resources,11
Master_of_Science,Wood_Science_and_Technology,College_of_Forestry_and_Natural_Resources,7
Doctor_of_Philosophy,Forest_Biological_Sciences,College_of_Forestry_and_Natural_Resources,5
Doctor_of_Philosophy,Forest_Resources_Management,College_of_Forestry_and_Natural_Resources,11
Doctor_of_Philosophy_by_Research,Forest_Biological_Sciences,College_of_Forestry_and_Natural_Resources,3
Doctor_of_Philosophy_by_Research,Forest_Resources_Management,College_of_Forestry_and_Natural_Resources,1
Doctor_of_Philosophy_by_Research,Wood_Science_and_Technology,College_of_Forestry_and_Natural_Resources,1
Doctor_of_Philosophy,Silviculture_and_Forest_Infuences,College_of_Forestry_and_Natural_Resources,3
Doctor_of_Philosophy,Wood_Science_and_Technology,College_of_Forestry_and_Natural_Resources,3
Master_of_Professional_Studies,Food_and_Nutrition_Planning,College_of_Human_Ecology,1
Master_of_Science,Applied_Nutrition,College_of_Human_Ecology,34
Doctor_of_Philosophy,Human_Nutrition,College_of_Human_Ecology,14
Master_of_Development_Management_and_Governance,Development_Management_and_Governance,College_of_Public_Affairs_and_Development,99
Master_of_Management,Development_Management,College_of_Public_Affairs_and_Development,1
Master_of_Public_Affairs,Education_Management,College_of_Public_Affairs_and_Development,53
Master_of_Public_Affairs,Strategic_Planning_and_Public_Policy,College_of_Public_Affairs_and_Development,41
Master_of_Science,Community_Development,College_of_Public_Affairs_and_Development,21
Master_of_Science,Development_Management_and_Governance,College_of_Public_Affairs_and_Development,65
Master_of_Science,Extension_Education,College_of_Public_Affairs_and_Development,17
Doctor_of_Philosophy,Agricultural_Education,College_of_Public_Affairs_and_Development,5
Doctor_of_Philosophy,Community_Development,College_of_Public_Affairs_and_Development,24
Doctor_of_Philosophy,Development_Studies,College_of_Public_Affairs_and_Development,81
